2025年第49周,,,,,,,,,,,,,,,
第49周,周一,,周二,,周三,,周四,,周五,,周六,,周天,,本周的关键词
20:30-21:00,短视频,3.2,短视频,3.2,短视频,3.2,短视频,3.2,派花,1.3,洗澡,0,洗澡,0,本周请吃饭的人（学习）
21:00-21:30,短视频,3.2,短视频,3.2,短视频,3.2,短视频,3.2,时间管理,1.5,短视频,3.2,短视频,3.2,
21:30-22:00,睡觉,0,短视频,3.2,短视频,3.2,短视频,3.2,时间管理,1.5,短视频,3.2,短视频,3.2,
22:00-22:30,睡觉,0,短视频,3.2,短视频,3.2,短视频,3.2,吐槽,3.4,短视频,3.2,物料清单,1.3,
22:30-23:00,睡觉,0,短视频,3.2,短视频,3.2,短视频,3.2,时间管理,1.5,短视频,3.2,物料清单,1.3,赢得的奖励自己的时间
23:00-23:30,睡觉,0,短视频,3.2,短视频,3.2,短视频,3.2,短视频,3.2,短视频,3.2,物料清单,1.3,-27
23:30-00:00,短视频,3.2,短视频,3.2,短视频,3.2,读书,1.4,短视频,3.2,短视频,3.2,物料清单,1.3,
Guilt Free Play,1,, -   ,,6,, -   ,, -   ,,4,, -   ,,11
Rest,9,,12,,9,,9,,13,,12,,11,,75
Mandatory Work, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,,0
Quality Work,16,,12,, -   ,,6,,10,,4,,13,,61
Procrastination,7,,9,,18,,18,,10,,13,,9,,84
 赚 ,17,,12,,6,,6,,10,,8,,13,,72
 赔 ,7,,9,,18,,18,,10,,13,,9,,84
 结余 ,3,,-6,,-30,,-30,,-10,,-18,,-5,,-96
 1-新媒体运营 , -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   
 2-心理咨询 , -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   
 3-注会变现 ,16,,12,, -   ,,5,,4,,4,,11,,52
 4-读书 , -   ,, -   ,, -   ,,1,, -   ,, -   ,, -   ,,1
 5-投资 , -   ,, -   ,, -   ,, -   ,,6,, -   ,,2,,8
 6-造音师 , -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   
 7-其他 , -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   
有效投资,16,,12,, -   ,,6,,10,,4,,13,,61
 睡懒觉 , -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   
 刷手机 ,7,,9,,18,,12,,4,,10,,7,,67
 拖延 , -   ,, -   ,, -   ,,6,,5,,3,,2,,16
 无效/低效社交 , -   ,, -   ,, -   ,, -   ,,1,, -   ,, -   ,,1
 其他 , -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   
无效浪费,7,,9,,18,,18,,10,,13,,9,,84
潜力总数,9,,12,,9,,9,,13,,12,,11,,75
标准数,12,,12,,12,,12,,12,,12,,12,,84
可用数, -   ,, -   ,, -   ,, -   ,,1,, -   ,, -   ,,1
 校验总数 ,1,,1,,1,,1,,1,,1,,1,, -   
 校验亏损 , -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   
 检验投资 , -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   ,, -   
